date,dayOfYear,month,day,weekday,sunrise,sunset,description,startDt,startTm,endDt,endTm,type,show,url,notes,format,title,start,end
2022-12-23,357,Dec,23,Fri,7:17:00,16:33:00,Short Walk,2022-12-23,7:17:00,,,Walk,x,#find-us,,Walkx,Short Walk,2022-12-23T07:17:00,
2022-12-24,358,Dec,24,Sat,7:17:00,16:33:00,Backpacking,2022-12-24,,2022-12-27,,Trip,t,#find-us,,Tript,[TBD: Backpacking?],2022-12-24,2022-12-27
2022-12-25,359,Dec,25,Sun,7:18:00,16:34:00,Christmas Day,2022-12-25,,,,Holiday,x,,,Holidayx,Christmas Day,2022-12-25,
2022-12-25,359,Dec,25,Sun,7:18:00,16:34:00,Day Hike,2022-12-25,,,,Hike,t,#find-us,,Hiket,[TBD: Day Hike?],2022-12-25,
2022-12-25,359,Dec,25,Sun,7:18:00,16:34:00,Long Walk,2022-12-25,7:18:00,,,Walk,t,#find-us,,Walkt,[TBD: Long Walk?],2022-12-25T07:18:00,
2022-12-26,360,Dec,26,Mon,7:18:00,16:34:00,Christmas Day (Observed),2022-12-26,,,,Holiday,x,,,Holidayx,Christmas Day (Observed),2022-12-26,
2022-12-26,360,Dec,26,Mon,7:18:00,16:34:00,Short Walk,2022-12-26,7:18:00,,,Walk,,#find-us,,Walk,XXXXXXXXXXXXXXX,XXXXXXXXXXXXXX,XXXXXXXXXXX
2022-12-28,362,Dec,28,Wed,7:19:00,16:36:00,Short Walk,2022-12-28,7:19:00,,,Walk,x,#find-us,,Walkx,Short Walk,2022-12-28T07:19:00,
2022-12-30,364,Dec,30,Fri,7:19:00,16:37:00,Short Walk,2022-12-30,7:19:00,,,Walk,x,#find-us,,Walkx,Short Walk,2022-12-30T07:19:00,
2022-12-31,365,Dec,31,Sat,7:19:00,16:38:00,Backpacking,2022-12-31,,2023-01-03,,Trip,t,#find-us,,Tript,[TBD: Backpacking?],2022-12-31,2023-01-03
2023-01-01,1,Jan,1,Sun,7:19:00,16:39:00,Day Hike,2023-01-01,,,,Hike,t,#find-us,,Hiket,[TBD: Day Hike?],2023-01-01,
2023-01-01,1,Jan,1,Sun,7:19:00,16:39:00,Long Walk,2023-01-01,7:19:00,,,Walk,t,#find-us,,Walkt,[TBD: Long Walk?],2023-01-01T07:19:00,
2023-01-01,1,Jan,1,Sun,7:19:00,16:39:00,New Years Day,2023-01-01,,,,Holiday,x,,,Holidayx,New Years Day,2023-01-01,
2023-01-02,2,Jan,2,Mon,7:20:00,16:40:00,New Years Day (Observed),2023-01-02,,,,Holiday,x,,,Holidayx,New Years Day (Observed),2023-01-02,
2023-01-02,2,Jan,2,Mon,7:20:00,16:40:00,Short Walk,2023-01-02,7:20:00,,,Walk,,#find-us,,Walk,XXXXXXXXXXXXXXX,XXXXXXXXXXXXXX,XXXXXXXXXXX
2023-01-04,4,Jan,4,Wed,7:20:00,16:42:00,Short Walk,2023-01-04,7:20:00,,,Walk,x,#find-us,,Walkx,Short Walk,2023-01-04T07:20:00,
2023-01-06,6,Jan,6,Fri,7:19:00,16:44:00,Short Walk,2023-01-06,7:19:00,,,Walk,x,#find-us,,Walkx,Short Walk,2023-01-06T07:19:00,
2023-01-08,8,Jan,8,Sun,7:19:00,16:46:00,Day Hike,2023-01-08,,,,Hike,t,#find-us,,Hiket,[TBD: Day Hike?],2023-01-08,
2023-01-08,8,Jan,8,Sun,7:19:00,16:46:00,Long Walk,2023-01-08,7:19:00,,,Walk,t,#find-us,,Walkt,[TBD: Long Walk?],2023-01-08T07:19:00,
2023-01-09,9,Jan,9,Mon,7:19:00,16:47:00,Short Walk,2023-01-09,7:19:00,,,Walk,x,#find-us,,Walkx,Short Walk,2023-01-09T07:19:00,
2023-01-11,11,Jan,11,Wed,7:19:00,16:49:00,Short Walk,2023-01-11,7:19:00,,,Walk,x,#find-us,,Walkx,Short Walk,2023-01-11T07:19:00,
2023-01-13,13,Jan,13,Fri,7:18:00,16:51:00,Short Walk,2023-01-13,7:18:00,,,Walk,x,#find-us,,Walkx,Short Walk,2023-01-13T07:18:00,
2023-01-15,15,Jan,15,Sun,7:17:00,16:53:00,Day Hike,2023-01-15,,,,Hike,t,#find-us,,Hiket,[TBD: Day Hike?],2023-01-15,
2023-01-15,15,Jan,15,Sun,7:17:00,16:53:00,Long Walk,2023-01-15,7:17:00,,,Walk,t,#find-us,,Walkt,[TBD: Long Walk?],2023-01-15T07:17:00,
2023-01-16,16,Jan,16,Mon,7:17:00,16:54:00,Short Walk,2023-01-16,7:17:00,,,Walk,x,#find-us,,Walkx,Short Walk,2023-01-16T07:17:00,
2023-01-18,18,Jan,18,Wed,7:16:00,16:56:00,Short Walk,2023-01-18,7:16:00,,,Walk,x,#find-us,,Walkx,Short Walk,2023-01-18T07:16:00,
2023-01-20,20,Jan,20,Fri,7:15:00,16:59:00,Short Walk,2023-01-20,7:15:00,,,Walk,x,#find-us,,Walkx,Short Walk,2023-01-20T07:15:00,
2023-01-22,22,Jan,22,Sun,7:13:00,17:01:00,Day Hike,2023-01-22,,,,Hike,t,#find-us,,Hiket,[TBD: Day Hike?],2023-01-22,
2023-01-22,22,Jan,22,Sun,7:13:00,17:01:00,Long Walk,2023-01-22,7:13:00,,,Walk,t,#find-us,,Walkt,[TBD: Long Walk?],2023-01-22T07:13:00,
2023-01-23,23,Jan,23,Mon,7:13:00,17:02:00,Short Walk,2023-01-23,7:13:00,,,Walk,x,#find-us,,Walkx,Short Walk,2023-01-23T07:13:00,
2023-01-25,25,Jan,25,Wed,7:11:00,17:05:00,Short Walk,2023-01-25,7:11:00,,,Walk,x,#find-us,,Walkx,Short Walk,2023-01-25T07:11:00,
2023-01-27,27,Jan,27,Fri,7:09:00,17:07:00,Short Walk,2023-01-27,7:09:00,,,Walk,x,#find-us,,Walkx,Short Walk,2023-01-27T07:09:00,
2023-01-29,29,Jan,29,Sun,7:08:00,17:10:00,Day Hike,2023-01-29,,,,Hike,t,#find-us,,Hiket,[TBD: Day Hike?],2023-01-29,
2023-01-29,29,Jan,29,Sun,7:08:00,17:10:00,Long Walk,2023-01-29,7:08:00,,,Walk,t,#find-us,,Walkt,[TBD: Long Walk?],2023-01-29T07:08:00,
2023-01-30,30,Jan,30,Mon,7:07:00,17:11:00,Short Walk,2023-01-30,7:07:00,,,Walk,x,#find-us,,Walkx,Short Walk,2023-01-30T07:07:00,
2023-02-01,32,Feb,1,Wed,7:05:00,17:13:00,Short Walk,2023-02-01,7:05:00,,,Walk,x,#find-us,,Walkx,Short Walk,2023-02-01T07:05:00,
2023-02-03,34,Feb,3,Fri,7:03:00,17:16:00,Short Walk,2023-02-03,7:03:00,,,Walk,x,#find-us,,Walkx,Short Walk,2023-02-03T07:03:00,
2023-02-05,36,Feb,5,Sun,7:01:00,17:18:00,Day Hike,2023-02-05,,,,Hike,t,#find-us,,Hiket,[TBD: Day Hike?],2023-02-05,
